yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
49722023,4972,2023,IL0222200,IL0222200,,N,N,,I,WINFIELD,WINFIELD PD,Winfield,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,10167,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,16,1,17,0,1,1,1.6,1.8,2006-12-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49732023,4973,2023,IL0222300,IL0222300,,N,N,,I,WOOD DALE,WOOD DALE PD,Wood Dale,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,13600,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,4,29,8,7,15,2.4,3.2,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49742023,4974,2023,IL0222400,IL0222400,,N,N,,I,WOODRIDGE,WOODRIDGE PD,Woodridge,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,33329,23367,ILUCR0001,Illinois State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,41,5,46,5,5,10,1.4,1.7,2006-12-01,2022-12-01,2023-03-01,2023-03-01,2023-03-01,2023-03-01,N,"DUPAGE, WILL","Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49752023,4975,2023,IL0222500,IL0222500,,N,N,,I,WARRENVILLE,WARRENVILLE PD,Warrenville,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,15492,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,27,1,28,3,6,9,1.9,2.4,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49762023,4976,2023,IL0222700,IL0222700,,N,N,,I,DARIEN,DARIEN PD,Darien,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,21380,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,1,30,4,4,8,1.5,1.8,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49772023,4977,2023,IL0222900,IL0222900,,N,N,,I,OAKBROOK TERRACE,OAKBROOK TERRACE PD,Oakbrook Terrace,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,2670,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,3,3,6,7.1,8.2,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49782023,4978,2023,IL0223000,IL0223000,,N,N,,I,WILLOWBROOK,WILLOWBROOK PD,Willowbrook,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,8980,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,21,0,21,4,3,7,2.8,3.1,2006-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,2022-12-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49792023,4979,2023,IL0223100,IL0223100,,N,N,,I,BURR RIDGE,BURR RIDGE PD HINSDALE,Burr Ridge,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,10965,23367,ILUCR0001,Illinois State Police,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,1,25,2,2,4,2.4,2.6,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,"COOK, DUPAGE","Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49812023,4981,2023,IL0223300,IL0223300,,N,N,,I,DUPAGE CO FOREST PRESER,DU PAGE CO FOREST PRESERVE PD GLEN ELLYN,DuPage County Forest Preserve,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,Other,0,23367,ILUCR0001,Illinois State Police,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,19,0,19,4,3,7,0,0,2006-12-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
49822023,4982,2023,IL0223700,IL0223700,,N,N,,I,COLLEGE OF DUPAGE,COLLEGE OF DUPAGE PD GLEN ELLYN,College of DuPage,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,University or College,0,23367,ILUCR0001,Illinois State Police,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,17,2,19,0,3,3,0,0,2006-12-01,2021-05-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,DUPAGE,"Chicago-Naperville-Elgin, IL-IN",Y,Y,Y
