data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,5,172847331,2.000,1,16143794
2023,5,172847336,9.500,1,16143795
2023,5,172847344,1.000,1,16143796
2023,5,172847345,1.000,1,16143797
2023,12,180884949,0.800,1,17229845
2023,17,180884965,1.000,1,17229846
2023,5,180884971,11.100,1,17229847
2023,16,179172726,69.000,9,16986258
2023,5,180884974,33.000,1,17229848
2023,5,180884975,10.000,1,17229849
2023,5,176294708,3.000,10,16593143
2023,2,176294720,14.900,1,16593144
2023,5,180884985,14.000,1,17229850
2023,5,180884987,1.000,1,17229851
2023,2,180884988,8.000,1,17229852
2023,17,180884995,0.100,1,17229853
2023,5,179172757,1.000,1,16986262
2023,5,182036208,30.000,1,17401853
2023,5,179172773,28.000,1,16986263
2023,5,180885014,0.500,1,17229854
2023,5,179172776,1.560,1,16986264
2023,5,180885019,490.000,1,17229855
2023,2,180885022,9.000,1,17229856
2023,1,180885022,1.500,1,17229857
2023,17,180885022,0.450,1,17229858
2023,5,179172783,30.000,1,16986265
2023,5,164563364,17.400,1,14947368
2023,5,163903425,32.000,1,14856346
2023,17,163903425,121.900,1,14856347
2023,5,180885050,0.900,1,17229861
2023,5,164563382,3.000,1,14947369
2023,5,180885053,1.000,9,17229862
2023,6,164563404,82.000,9,14947371
2023,5,172847357,3.000,1,16143800
2023,5,164563413,1.000,9,14947374
2023,5,180885060,5.760,1,17229863
2023,5,180885066,2.000,1,17229864
2023,5,180885070,0.500,1,17229865
2023,5,180885071,5.900,1,17229866
2023,5,180885072,3.000,1,17229867
2023,12,180885074,9.700,1,17229868
2023,5,180885078,95.900,1,17229869
2023,5,180885079,3.600,1,17229870
2023,8,180885081,25.000,9,17229871
2023,5,180885081,783.200,1,17229872
2023,2,180885081,2.000,1,17229873
2023,5,180885089,8.400,1,17229874
2023,5,180885090,1.300,1,17229875
2023,5,180885090,6.000,9,17229876
2023,12,180885090,2.000,9,17229877
2023,5,180885091,4.500,1,17229878
2023,5,180885099,9.800,1,17229879
2023,12,180885100,2.900,1,17229880
2023,5,180885104,22.500,1,17229881
2023,5,180885105,7.600,1,17229882
2023,5,180885109,67.700,1,17229883
2023,8,180885109,3.000,9,17229884
2023,2,180885117,1.200,1,17229885
2023,4,180885118,1.000,1,17229886
2023,5,180885126,54.900,1,17229887
2023,5,168749219,8.000,1,15549841
2023,5,168749230,4.200,1,15549843
2023,5,168749231,7.100,1,15549844
2023,5,180885142,2.200,1,17229888
2023,5,180885146,55.000,1,17229889
2023,5,180885147,5.000,1,17229890
2023,5,180885148,8.000,1,17229891
2023,5,180885152,44.000,1,17229892
2023,5,180885154,1.000,1,17229893
2023,1,180885155,1.200,1,17229894
2023,5,180885157,2.000,9,17229895
2023,5,180885158,0.500,1,17229896
2023,5,180885160,50.000,1,17229897
2023,2,180885160,0.100,1,17229898
2023,5,180885166,13.200,1,17229899
2023,5,180885167,2.000,9,17229900
2023,5,180885170,12.300,1,17229901
2023,5,180885174,5.100,1,17229902
2023,5,180885177,25.700,1,17229903
2023,2,180885178,0.010,1,17229904
2023,5,180885180,5.800,1,17229905
2023,5,180885183,20.800,1,17229906
2023,5,180885184,1.000,1,17229907
2023,1,172847360,0.799,1,16143801
2023,5,180885188,9.900,1,17229908
2023,4,180885190,21.200,1,17229909
2023,12,180885191,14.500,1,17229910
2023,5,180885191,45.900,1,17229911
2023,5,180885193,4.900,1,17229912
2023,5,180885194,1.000,1,17229913
2023,5,180885195,4.900,1,17229914
2023,5,180885198,2.600,1,17229915
2023,11,180885199,5.500,1,17229916
2023,5,180885199,6.100,1,17229917
2023,5,180885202,5.000,1,17229918
2023,5,180885203,1.000,1,17229919
2023,5,180885204,8.400,1,17229920
2023,2,172847361,0.200,1,16143802
2023,8,172847361,1.000,9,16143803
2023,17,172847361,3.000,9,16143804
