data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,49096471,,51
2022,49096472,,51
2022,49096473,,51
2022,49096474,,51
2022,49096475,,51
2022,49096476,,51
2022,49096477,,51
2022,49096478,,51
2022,49096479,,51
2022,49096480,,51
2022,49096481,,51
2022,49096482,,51
2022,49096483,,51
2022,49096484,,51
2022,49096485,,51
2022,49096486,,51
2022,49096487,,51
2022,49096488,,51
2022,49096489,,51
2022,49096490,,51
2022,49096491,,5
2022,49096492,,51
2022,49096493,,1
2022,49096494,,51
2022,49096495,,51
2022,49096496,,1
2022,49096497,,51
2022,49096498,,51
2022,49096499,,51
2022,49096500,,51
2022,49096501,,51
2022,49096502,,51
2022,49096503,,51
2022,49096504,,51
2022,49096505,,51
2022,49096506,,51
2022,49096507,,51
2022,50550836,,51
2022,49096508,,51
2022,49096509,,51
2022,49096510,,51
2022,45263279,,51
2022,49096511,,51
2022,49096512,,51
2022,49096513,,53
2022,49096514,,51
2022,49096515,,51
2022,49096516,,51
2022,49096517,,51
2022,49096518,,51
2022,50772194,,51
2022,50116129,,51
2022,50116130,,51
2022,50116134,,51
2022,50116135,,51
2022,50116136,,51
2022,50116138,,51
2022,50116142,,51
2022,50116145,,51
2022,50116147,,51
2022,50116148,,51
2022,50550837,,51
2022,50116149,,51
2022,45263280,,51
2022,50116150,,51
2022,50550838,,51
2022,50116153,,51
2022,50550839,,51
2022,50116154,,51
2022,50116155,,51
2022,50116156,,51
2022,50550840,,51
2022,50116157,,51
2022,50550841,,51
2022,50550842,,51
2022,50550843,,51
2022,50550844,,51
2022,50550845,,51
2022,50550846,,51
2022,50550847,,51
2022,50550848,,51
2022,50550849,,51
2022,50550850,,51
2022,50116160,,51
2022,50772195,,51
2022,50550851,,51
2022,50772236,,51
2022,48378657,,51
2022,46055205,,51
2022,45655294,,51
2022,45655295,,51
2022,45655296,,51
2022,45722047,,51
2022,45655297,,51
2022,46250625,,51
2022,46271739,,51
2022,46271740,,51
2022,47345345,,51
2022,46554967,,51
2022,46554968,,51
2022,46055206,,51
2022,46055207,,51
2022,49154439,,51
2022,46554969,,3
2022,46554970,,51
2022,46554971,,51
2022,46055208,,51
2022,46696913,,51
2022,46055209,,51
2022,46055210,,52
2022,46637984,,51
2022,46554120,,51
2022,46554121,,51
2022,46954336,,51
2022,46954337,,51
2022,46954338,,51
2022,46967288,,51
2022,47646124,,51
2022,46868640,,51
2022,46868641,,51
2022,46868642,,51
2022,47646125,,51
2022,47670125,,51
2022,46977504,,52
2022,47670728,,51
2022,47670729,,51
2022,47670730,,51
2022,48045527,,51
2022,48045528,,51
2022,46927646,,3
2022,46890380,,51
2022,47247496,,51
2022,47261664,,3
2022,48070858,,51
2022,50018045,,3
2022,48070859,,51
2022,50018046,,1
2022,50018047,,1
2022,48070860,,51
2022,48307655,,51
2022,47279351,,51
2022,48307656,,51
2022,47345346,,51
2022,47345348,,51
2022,48307657,,51
2022,48307658,,51
2022,48307659,,51
2022,48307660,,51
2022,48516000,,51
2022,48516001,,52
2022,47345350,,51
2022,47345352,,51
2022,48516002,,51
2022,48516320,,51
2022,47670133,,51
2022,47596101,,3
2022,50237034,,51
2022,48516321,,3
2022,47695272,,51
2022,47695273,,51
2022,47747108,,51
2022,47805166,,51
2022,47805167,,51
2022,51047439,,51
2022,51047440,,51
2022,49075902,,51
2022,49196342,,51
2022,49557969,,51
2022,49557970,,51
2022,49558378,,51
2022,49558379,,51
2022,50011074,,51
2022,50011075,,51
2022,50011076,,51
2022,50011077,,51
2022,50013455,,51
2022,47980011,,51
2022,47980012,,51
2022,50013456,,51
2022,48043041,,3
2022,45330629,,51
