data_year,weapon_id,offense_id,nibrs_weapon_id
2022,38,197551043,
2022,41,179702219,
2022,41,179702222,
2022,42,179702223,
2022,41,179702224,
2022,39,179702225,
2022,38,179702232,
2022,41,179702233,
2022,41,179702236,
2022,39,179702237,
2022,41,197551046,
2022,42,179702250,
2022,41,179702252,
2022,41,179702254,
2022,1,197551049,
2022,37,193638186,
2022,38,193638188,
2022,41,193653773,
2022,41,193653777,
2022,41,193653792,
2022,42,195419601,
2022,41,195425175,
2022,42,195425180,
2022,3,193653809,
2022,3,193653810,
2022,3,193653811,
2022,39,193653818,
2022,42,193653819,
2022,37,193653828,
2022,21,193653835,
2022,42,193653847,
2022,41,193653883,
2022,38,193653886,
2022,42,196090628,
2022,41,196090629,
2022,41,193140472,
2022,41,193140474,
2022,41,193140475,
2022,41,193140476,
2022,41,193140477,
2022,41,193140479,
2022,41,193140480,
2022,41,193140486,
2022,41,193140498,
2022,41,193140499,
2022,41,193140504,
2022,41,193140505,
2022,41,182855263,
2022,41,193140510,
2022,41,193140515,
2022,41,179702263,
2022,41,193140516,
2022,41,179702265,
2022,41,193140522,
2022,3,179702270,
2022,41,197551053,
2022,41,193140538,
2022,1,197551054,
2022,41,197551056,
2022,41,179702280,
2022,41,193140544,
2022,41,182983312,
2022,38,193140551,
2022,3,181655691,
2022,41,181655692,
2022,41,193140553,
2022,3,187644309,
2022,42,193140557,
2022,41,181655697,
2022,41,181655702,
2022,41,193140560,
2022,1,191653230,
2022,42,193140578,
2022,41,181655705,
2022,42,181655708,
2022,42,181655709,
2022,41,193140580,
2022,42,193140592,
2022,41,193140593,
2022,41,193140601,
2022,41,193140607,
2022,39,193140610,
2022,1,193140632,
2022,38,193140638,
2022,41,193140639,
2022,42,193140642,
2022,21,193140650,
2022,42,193140651,
2022,1,193140655,
2022,41,193140656,
2022,1,193140657,
2022,38,193140658,
2022,42,193140659,
2022,41,193140663,
2022,41,193140670,
2022,41,193140672,
2022,42,193140677,
2022,7,193140682,
2022,42,193140686,
2022,41,200187681,
2022,38,193140692,
2022,41,193140695,
2022,41,193140697,
2022,42,193140702,
2022,42,193140703,
2022,41,193140706,
2022,41,193140711,
2022,41,193140712,
2022,42,197477316,
2022,42,197477325,
2022,42,197477343,
2022,41,199307733,
2022,42,197477345,
2022,39,197477366,
2022,41,197477379,
2022,41,191653232,
2022,41,197477389,
2022,41,181655711,
2022,41,197477392,
2022,42,197477397,
2022,1,181655718,
2022,41,193214809,
2022,1,181655723,
2022,41,181655724,
2022,41,181655734,
2022,41,181655736,
2022,41,184167820,
2022,41,181655740,
2022,41,181655749,
2022,42,191653239,
2022,38,193214813,
2022,38,193214816,
2022,38,193214817,
2022,38,193214825,
2022,41,193214827,
2022,41,193214828,
2022,41,193214832,
2022,41,193214836,
2022,38,193214838,
2022,41,193214840,
2022,41,193214844,
2022,41,197477425,
2022,41,193214848,
2022,41,193214856,
2022,39,191653240,
2022,41,193214857,
2022,41,193214859,
2022,41,181655761,
2022,41,193214863,
2022,31,193214864,
2022,41,193214876,
2022,41,193214900,
2022,41,193214903,
2022,1,193214922,
2022,42,193214926,
2022,38,193214931,
2022,42,193214936,
2022,1,193214939,
2022,41,193214944,
2022,42,193214954,
2022,41,193214983,
2022,42,193214985,
2022,41,193214986,
2022,41,182855272,
2022,41,193214994,
2022,41,191653241,
2022,41,193214997,
2022,41,193215006,
2022,41,193215007,
2022,42,193215009,
2022,41,193215010,
2022,41,193215011,
2022,41,193215012,
2022,42,193215014,
2022,41,193215023,
2022,41,193215027,
2022,41,193215033,
2022,41,193215037,
2022,41,193215043,
2022,42,193215045,
2022,42,193215050,
2022,39,182855301,
2022,41,193215051,
2022,41,193215056,
2022,1,193215057,
2022,41,193215063,
2022,42,193215069,
2022,42,193215084,
2022,42,193215087,
2022,42,193215090,
2022,42,193215093,
2022,38,193215097,
2022,42,193215098,
2022,42,193215099,
2022,41,193215100,
2022,42,193215105,
2022,41,193215107,
2022,41,193215108,
2022,42,197477435,
2022,3,197477446,
2022,42,197477450,
2022,41,197477454,
2022,21,197477457,
2022,41,197477458,
2022,42,197477471,
2022,41,197477477,
2022,41,197477480,
2022,41,197477484,
2022,41,197477490,
2022,41,197477492,
2022,42,197477496,
2022,42,197477502,
2022,39,197477511,
2022,41,197477520,
2022,42,197477526,
2022,42,199307775,
2022,41,197477528,
2022,41,199307779,
2022,42,199307785,
2022,39,185756168,
2022,42,199307788,
2022,41,199307789,
2022,41,197477538,
2022,32,192367319,
2022,42,199307791,
2022,39,182855320,
2022,41,193088090,
2022,41,191653242,
2022,41,184167822,
2022,41,182855331,
2022,38,191653244,
2022,41,182855343,
2022,41,182855349,
2022,42,182855364,
2022,41,187644316,
2022,3,201840399,
2022,42,182855379,
2022,41,191653248,
2022,41,194310993,
2022,41,180482533,
2022,41,191653252,
2022,41,180482537,
2022,41,180482539,
2022,41,180482541,
2022,41,180482542,
2022,41,180482545,
2022,41,189961383,
2022,41,182855405,
2022,41,187644334,
2022,41,180482546,
2022,41,180482547,
2022,21,180482551,
2022,41,182620702,
2022,41,182620703,
2022,41,182620705,
2022,41,182620706,
2022,38,191653253,
2022,41,184167834,
2022,38,184167839,
2022,41,184167843,
2022,41,191653259,
2022,41,184167848,
2022,1,191653260,
2022,41,182620707,
2022,41,182620708,
2022,41,182620710,
2022,41,182620716,
2022,41,184230926,
2022,41,184230928,
2022,41,184230930,
2022,41,184230932,
2022,41,184233211,
2022,21,184288915,
2022,41,192367321,
2022,41,192367322,
2022,41,184167856,
2022,42,184167863,
2022,41,184167865,
2022,9,184167868,
2022,3,191653270,
2022,41,184167875,
2022,41,184167876,
2022,41,184167879,
2022,21,184167881,
2022,41,184167886,
2022,3,185756176,
2022,41,184167890,
2022,41,185756183,
2022,41,191653273,
2022,41,184167892,
2022,41,191653275,
2022,41,197551059,
2022,41,185756188,
2022,1,197551060,
2022,41,184167900,
2022,41,185756193,
2022,41,185756199,
2022,41,184364535,
2022,1,185756207,
2022,41,185756208,
2022,37,185756210,
2022,41,185756211,
2022,41,189961384,
2022,41,187982022,
2022,41,186139386,
2022,41,185756223,
2022,41,186139387,
2022,41,187982025,
2022,41,185441573,
2022,3,191653277,
2022,41,186139390,
2022,41,185441575,
2022,41,185441576,
2022,41,185441577,
2022,41,185441578,
2022,41,185441580,
2022,41,185441582,
2022,41,185756251,
2022,41,187220227,
2022,1,197551063,
2022,1,187982030,
2022,38,187982033,
2022,42,185756271,
2022,1,191653278,
2022,3,187982034,
2022,41,192367323,
2022,41,185756286,
2022,41,185756291,
2022,41,185756311,
2022,41,185756317,
2022,41,185756326,
2022,41,185756327,
2022,41,197551065,
2022,3,185756332,
2022,42,187982041,
2022,42,185756374,
2022,41,185756382,
2022,1,187644341,
2022,9,187644343,
2022,39,187982043,
2022,42,187644358,
2022,42,193730904,
2022,41,187644380,
2022,3,187644390,
2022,41,187644397,
