"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,142845953,5
2020,142848208,6
2020,142846189,4
2020,142846248,4
2020,142848370,6
2020,142846257,6
2020,142848411,5
2020,142846332,5
2020,142846355,4
2020,142846422,5
2020,142846436,4
2020,142848631,4
2020,142846543,5
2020,142848657,4
2020,142846615,5
2020,142848857,4
2020,142848865,5
2020,142848861,5
2020,142848863,5
2020,142848867,5
2020,142846759,5
2020,142846019,4
2020,142848189,5
2020,142848196,5
2020,142846052,4
2020,142846050,4
2020,142846050,3
2020,142848266,5
2020,142846153,5
2020,142848282,5
2020,142848276,6
2020,142846146,5
2020,142846154,5
2020,142846145,5
2020,142846169,4
2020,142848293,4
2020,142848325,5
2020,142846267,4
2020,142848453,4
2020,142848502,4
2020,142846420,5
2020,142846533,4
2020,142846626,4
2020,142848776,4
2020,142846651,4
2020,142848902,5
2020,142848971,4
2020,142848976,4
2020,142846860,4
2020,142848991,4
2020,142849017,2
2020,142846905,5
2020,142849022,5
2020,142846906,5
2020,142849083,5
2020,142847010,4
2020,142847037,5
2020,142847093,5
2020,142849212,5
2020,142846845,4
2020,142846889,5
2020,142846895,5
2020,142846893,4
2020,142849154,5
2020,142847087,5
2020,142849290,4
2020,148938598,6
2020,148938597,6
2020,148938600,1
2020,148938599,4
2020,148938608,4
2020,148938609,5
2020,148938610,5
2020,148938676,5
2020,148938692,4
2020,148938692,6
2020,148938718,4
2020,148938771,5
2020,148938943,5
2020,148938941,5
2020,148938952,5
2020,146997190,5
2020,146997200,5
2020,146997222,4
2020,147000264,4
2020,146997224,5
2020,146997240,4
2020,146997248,5
2020,147000282,4
2020,147000283,4
2020,146997249,4
2020,147000280,5
2020,146997253,5
2020,146997256,4
2020,146997284,5
2020,146997285,5
2020,146997283,5
2020,146997282,5
2020,146997294,4
2020,146997329,5
2020,147000355,5
2020,146997336,4
2020,147000372,4
2020,147000385,5
2020,147000402,4
2020,147000401,5
2020,146997377,5
2020,146997384,5
2020,146997407,5
2020,146997406,5
2020,146997495,4
2020,146997534,5
2020,147000437,4
2020,146997623,4
2020,146997703,4
2020,146997785,4
2020,147002936,4
2020,147003085,5
2020,147003195,4
2020,147000529,6
2020,149050679,5
2020,149046884,6
2020,149046900,5
2020,149046898,4
2020,149050766,5
2020,149046946,5
2020,149046968,5
2020,149050806,4
2020,149046990,5
2020,149050848,4
2020,149050866,4
2020,149047070,4
2020,149047079,5
2020,149050903,5
2020,149047105,5
2020,149050920,5
2020,149047118,4
2020,149050929,5
2020,149050948,5
2020,149047145,4
2020,149050950,4
2020,149050956,4
2020,149050956,3
2020,149051015,5
2020,149051100,4
2020,149047306,5
2020,149051120,4
2020,149051124,4
2020,149051129,4
2020,149047342,5
2020,149051147,4
2020,149047411,5
2020,149050699,5
2020,149046911,4
2020,149046910,4
2020,149050736,4
2020,149050800,5
2020,149047021,5
2020,149050935,4
2020,149046948,5
2020,149050767,5
2020,149046971,5
2020,149050805,5
2020,149050895,5
2020,149047321,4
2020,149047322,5
2020,149051132,5
2020,149051133,4
2020,149047387,5
2020,147000582,5
2020,147003453,5
2020,147000667,4
2020,147000673,4
2020,147003498,5
2020,147003499,5
2020,147003500,5
2020,147003501,5
2020,147003510,5
2020,147003509,5
2020,147003508,5
2020,147003552,4
2020,147000754,5
2020,147000892,3
2020,147000892,1
2020,147003697,4
2020,147003697,6
2020,147000892,4
2020,147000892,6
2020,147003697,3
2020,147003697,1
2020,147000950,5
2020,147003817,4
2020,147001034,5
2020,147001124,4
2020,147003993,5
2020,147004256,5
2020,147004339,5
2020,147004424,5
2020,147001630,4
2020,147004432,4
2020,147004493,5
2020,147004489,5
2020,147004583,5
2020,147004639,5
2020,147001856,4
2020,147004695,4
2020,147004739,5
2020,147004777,5
2020,147004799,4
2020,147004909,5
2020,147002090,5
2020,147004989,5
2020,147005091,5
2020,147005276,5
2020,147005317,5
2020,147005329,4
2020,147005383,5
2020,147200814,5
2020,147202959,4
2020,147000688,4
2020,147003522,5
2020,147003523,4
2020,147000732,5
2020,147000922,4
2020,147003810,3
2020,147003810,4
2020,147001079,4
2020,147003918,5
2020,147003916,4
2020,147004012,4
2020,147004013,5
2020,147004011,4
2020,147004047,4
2020,147001270,5
2020,147001282,5
2020,147004127,4
2020,147001379,5
2020,147004224,4
2020,147004402,5
2020,147001623,5
2020,147001620,4
2020,147004547,5
2020,147001746,5
2020,147001791,4
2020,147004688,5
2020,147001860,5
2020,147004687,5
2020,147004686,5
2020,147001892,4
2020,147004731,4
2020,147001898,4
2020,147004752,4
2020,147004852,5
2020,147002098,4
2020,147004984,5
2020,147005069,5
2020,147005074,5
2020,147005134,5
2020,147005196,4
2020,147005407,4
2020,147000716,5
2020,147000775,5
2020,147000920,5
2020,147003742,5
2020,147003733,5
2020,147000949,5
2020,147000947,5
2020,147000936,5
2020,147003737,5
2020,147003740,5
2020,147003739,5
2020,147000945,5
2020,147003741,5
2020,147000943,5
2020,147000941,5
2020,147003827,5
2020,147003921,5
2020,147003924,5
2020,147003922,5
2020,147003968,5
2020,147003966,5
2020,147001248,4
2020,147004085,5
2020,147004154,4
2020,147004169,4
2020,147004307,4
2020,147001530,5
2020,147004325,4
2020,147001565,5
2020,147004382,5
2020,147001661,4
2020,147004585,4
2020,147001776,5
2020,147004609,5
2020,147004696,5
2020,147004765,5
2020,147004851,5
2020,147004904,5
2020,147004927,5
2020,147005112,5
2020,147005161,5
2020,147005266,4
2020,147005323,5
2020,147002511,4
2020,147002615,4
2020,146997305,5
2020,147000329,4
2020,146997349,5
2020,146997365,5
2020,147003416,5
2020,147003446,8
2020,147000633,5
2020,147003506,4
2020,147003518,5
2020,147000702,5
2020,147003578,5
2020,147003683,4
2020,147000944,5
2020,147000974,5
2020,147001137,2
2020,147003994,5
2020,147004048,3
2020,147004048,2
2020,147004092,5
2020,147004091,4
2020,147004173,5
2020,147001464,5
2020,147001521,5
2020,147004376,4
2020,147004387,4
2020,147001604,4
2020,147004470,4
2020,147001698,4
2020,147004517,5
2020,147004545,5
2020,147202908,4
2020,147004592,5
2020,147004602,5
2020,147004608,4
2020,147004671,5
2020,147004808,4
2020,147004806,4
2020,147004845,5
2020,147004842,5
2020,147004838,5
2020,147004844,5
2020,147002072,5
2020,147002099,4
2020,147002150,4
2020,147197607,5
2020,147005219,6
2020,147005221,5
2020,147005271,5
2020,147005277,4
2020,147005282,5
2020,147002477,4
2020,147005357,5
2020,147005373,5
2020,147002582,5
2020,147005428,5
2020,147197528,5
2020,147197640,4
2020,146997186,4
2020,146997295,5
