"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,150576480
2020,21,150576482
2020,21,150576491
2020,21,150576492
2020,21,150576495
2020,21,150571942
2020,21,150571959
2020,21,150576528
2020,21,150571964
2020,21,150571966
2020,21,150576550
2020,21,150572032
2020,21,150572031
2020,21,150572039
2020,21,150576590
2020,21,150576595
2020,21,150576596
2020,21,150572054
2020,21,150576601
2020,21,150576608
2020,21,150576609
2020,21,150576611
2020,21,150576612
2020,21,150576349
2020,22,150576400
2020,21,150576415
2020,21,150571882
2020,21,150576439
2020,21,150571936
2020,21,150576514
2020,21,150576516
2020,21,150571958
2020,21,150576523
2020,21,150576532
2020,21,150571974
2020,21,150576540
2020,21,150571986
2020,21,150576543
2020,21,148246507
2020,21,148246510
2020,21,148246511
2020,21,148246512
2020,21,148246513
2020,21,148251240
2020,21,148246524
2020,21,148246526
2020,21,148246527
2020,21,148251251
2020,21,148246535
2020,21,148246537
2020,21,148246540
2020,21,148246541
2020,21,148246542
2020,21,148246543
2020,21,148246544
2020,21,148246545
2020,21,148246546
2020,21,148246547
2020,21,148246548
2020,21,148246549
2020,21,148246550
2020,21,148246551
2020,21,148246552
2020,21,148246554
2020,21,148246553
2020,21,148246555
2020,21,148246556
2020,21,148246557
2020,21,148246558
2020,21,148246559
2020,21,148246560
2020,21,148246561
2020,21,148246564
2020,21,148246566
2020,21,148246565
2020,21,148246567
2020,21,148246568
2020,21,148246569
2020,21,148246570
2020,21,148246571
2020,21,148246572
2020,21,148246573
2020,21,148246574
2020,21,148246575
2020,21,148246576
2020,21,148246577
2020,21,148246578
2020,21,148246579
2020,21,148246581
2020,21,148246580
2020,21,148246582
2020,21,148246583
2020,21,148246584
2020,21,148246585
2020,21,148246586
2020,21,148246587
2020,21,148246588
2020,21,148246590
2020,21,148246589
2020,21,148246593
2020,21,148246594
2020,21,148246595
2020,21,148246597
2020,21,148246596
2020,21,148246598
2020,21,148246599
2020,21,148246600
2020,21,148246601
2020,21,148246603
2020,21,148246606
2020,21,148246605
2020,21,148246607
2020,21,148246609
2020,21,148246608
2020,21,148246610
2020,21,148246611
2020,21,148246612
2020,21,148246613
2020,21,148246614
2020,21,148246615
2020,21,148246616
2020,21,148246617
2020,21,148246619
2020,21,148246618
2020,21,148246620
2020,21,148246621
2020,21,148246622
2020,21,148246623
2020,21,148246624
2020,21,148246627
2020,21,148246626
2020,21,148246625
2020,21,148246628
2020,21,148246629
2020,21,148246630
2020,21,148246632
2020,21,148246631
2020,21,148246633
2020,21,148246634
2020,21,148246636
2020,21,148246635
2020,21,148246637
2020,21,148246638
2020,21,148246639
2020,21,148246640
2020,21,148246641
2020,21,148246643
2020,21,148246644
2020,21,148246645
2020,21,148246646
2020,21,148246647
2020,21,148246648
2020,21,148246649
2020,21,148246650
2020,21,148246651
2020,21,148246652
2020,21,148246653
2020,21,148246654
2020,21,148246655
2020,21,148246656
2020,21,148246657
2020,21,148246658
2020,21,148246663
2020,21,148246661
2020,21,148246662
2020,21,148246664
2020,21,148246665
2020,21,148246666
2020,21,148246667
2020,21,148246668
2020,21,148246670
2020,21,148246669
2020,21,148246671
2020,21,148246672
2020,21,148246673
2020,21,148246674
2020,21,148246675
2020,21,148246676
2020,21,148246677
2020,21,148246678
2020,21,148246679
2020,21,148246680
2020,21,148246681
2020,21,148246682
2020,21,148246683
2020,21,148246684
2020,21,148246685
2020,21,148246686
2020,21,148246687
2020,21,148246688
2020,21,148246689
2020,21,148246690
2020,21,148246691
2020,21,148246694
2020,21,148246693
2020,21,148246696
2020,21,148246695
2020,21,148246697
2020,21,148246698
2020,21,148246699
2020,21,148246700
2020,21,148246701
2020,21,148246702
2020,21,148246704
2020,21,148246703
2020,21,148246705
2020,21,148246706
2020,21,148246707
2020,21,148246708
2020,21,148246709
2020,21,148246710
2020,21,148246711
2020,21,148246713
2020,21,148246714
2020,21,148246716
2020,21,148246715
2020,21,148246717
2020,21,148246718
2020,21,148246719
2020,21,148246720
2020,21,148246721
2020,21,148246722
2020,21,148246723
2020,21,148246724
2020,21,148246725
2020,21,148246726
2020,21,148246727
2020,21,148246728
2020,21,148246729
2020,21,148246730
2020,21,148246731
2020,21,148246732
2020,21,148246733
2020,21,148246734
2020,21,148246735
2020,21,148246736
2020,21,148246737
2020,21,148246738
2020,21,148246740
2020,21,148246739
2020,21,148246742
2020,21,148246741
2020,21,148246743
2020,21,148246744
2020,21,148246747
2020,21,148246749
2020,21,148246748
2020,21,148246750
2020,21,148246751
2020,21,148246752
2020,21,148246753
2020,21,148246754
2020,21,148246755
2020,21,148246756
2020,21,148246757
2020,21,148246758
2020,21,148246759
2020,21,148246760
2020,21,148246761
2020,21,148246763
2020,21,148246764
2020,21,148246765
2020,21,148246766
2020,21,148246767
2020,21,148246768
2020,21,148246769
2020,21,148246770
2020,21,148246771
2020,21,148246772
2020,21,148246773
2020,21,148246774
2020,21,148246775
2020,21,148246776
2020,21,148246777
2020,21,148246778
2020,21,148246779
