"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,134457178,148246774
2020,134457179,148246775
2020,134457180,148246777
2020,134457180,148246776
2020,134457181,148246778
2020,134457182,148246779
2020,134457183,148246780
2020,134457184,148246781
2020,134457185,148246782
2020,134457186,148246783
2020,134457188,148246785
2020,134457190,148246786
2020,134457189,148246786
2020,134457191,148246788
2020,134457191,148246789
2020,134457191,148246787
2020,134457192,148246790
2020,134457193,148246791
2020,134457195,148246792
2020,134457194,148246792
2020,134457196,148246793
2020,134457197,148246794
2020,134457198,148246795
2020,134457199,148246796
2020,134457200,148246797
2020,134457201,148246798
2020,134457202,148246799
2020,134457204,148246801
2020,134457205,148246802
2020,134457206,148246803
2020,134457208,148246804
2020,134457207,148246804
2020,134457209,148246805
2020,134457210,148246806
2020,134457211,148246808
2020,134457211,148246807
2020,134457212,148246809
2020,147200698,161339378
2020,147200698,161339381
2020,147200703,161339390
2020,147197548,161339416
2020,147200785,161343434
2020,147197635,161339497
2020,134456842,148256215
2020,134456852,148246429
2020,134462948,148251214
2020,134456874,148246455
2020,134456873,148246457
2020,134456873,148246456
2020,134456877,148246459
2020,134456892,148246474
2020,134456893,148246473
2020,134456901,148246484
2020,134456903,148246485
2020,134456912,148246495
2020,134456911,148246494
2020,134456915,148246500
2020,134456916,148246501
2020,135766624,149838712
2020,135766626,149838714
2020,135766633,149838725
2020,135766633,149838726
2020,135766634,149838726
2020,135766639,149838733
2020,135766649,149838740
2020,135766651,149838743
2020,134457213,148246810
2020,134457214,148246811
2020,134457215,148246812
2020,134457216,148246813
2020,134457217,148246814
2020,134457218,148246815
2020,134457220,148246817
2020,134457221,148246818
2020,134457222,148246820
2020,134457222,148246819
2020,134457223,148246821
2020,134457224,148246822
2020,134457226,148246823
2020,134457225,148246824
2020,134457227,148246825
2020,134457229,148246827
2020,134457231,148246829
2020,134457232,148246830
2020,134457233,148246831
2020,134457234,148246832
2020,134457236,148246834
2020,134457237,148246835
2020,134457238,148246836
2020,134457238,148246837
2020,134457239,148246838
2020,134457240,148246839
2020,134457241,148246840
2020,134457242,148246841
2020,134457243,148246842
2020,134457244,148246843
2020,134457245,148246844
2020,134457246,148246845
2020,134457246,148246846
2020,134457247,148246848
2020,134457247,148246847
2020,134457248,148246849
2020,134457250,148246852
2020,134457251,148246853
2020,134457252,148246854
2020,134457252,148246855
2020,134457254,148246856
2020,134457253,148246856
2020,134457255,148246857
2020,134457256,148246858
2020,134457257,148246859
2020,134457258,148246860
2020,134457260,148246862
2020,134457259,148246861
2020,134457261,148246863
2020,134457262,148246864
2020,134457263,148246865
2020,134457265,148246866
2020,134457264,148246866
2020,134457266,148246867
2020,134457267,148246868
2020,134457268,148246869
2020,134457269,148246870
2020,134457270,148246871
2020,134457271,148246873
2020,134457271,148246872
2020,134457272,148246874
2020,134457273,148246875
2020,134457274,148246876
2020,134457275,148246877
2020,134457276,148246878
2020,134457277,148246879
2020,134457279,148246880
2020,134457278,148246880
2020,134457280,148246881
2020,134457281,148246881
2020,134457282,148246882
2020,134457283,148246883
2020,134457284,148246884
2020,134457287,148246887
2020,134457291,148246889
2020,134457292,148246890
2020,134457294,148246891
2020,134457293,148246892
2020,134457296,148246894
2020,134457297,148246895
2020,134457298,148246897
2020,134457298,148246896
2020,134457299,148246898
2020,134457300,148246899
2020,134457301,148246900
2020,134457302,148246901
2020,134457304,148246902
2020,134457303,148246902
2020,134457306,148246903
2020,134457305,148246904
2020,134457305,148246903
2020,134457307,148246905
2020,134457308,148246906
2020,134457309,148246907
2020,134457310,148246908
2020,134457312,148246910
2020,134457313,148246911
2020,134457314,148246912
2020,134457315,148246913
2020,134457316,148246914
2020,134457317,148246915
2020,134457318,148246916
2020,134457319,148246917
2020,134457320,148246918
2020,134457321,148246919
2020,134457322,148246921
2020,134457322,148246920
2020,134457325,148246922
2020,134457323,148246922
2020,134457324,148246922
2020,134457326,148246923
2020,134457327,148246924
2020,134457328,148246925
2020,134457329,148246926
2020,134457330,148246927
2020,134457331,148246928
2020,134457332,148246929
2020,134457333,148246930
2020,134457334,148246931
2020,134457337,148246934
2020,134457338,148246935
2020,134457339,148246936
2020,134457340,148246937
2020,134457341,148246938
2020,134457342,148246939
2020,134457343,148246940
2020,134457345,148246941
2020,134457344,148246941
2020,134457346,148246942
2020,134457347,148246943
2020,134457349,148246946
2020,134457350,148246947
2020,134457351,148246948
2020,134457353,148246949
2020,134457352,148246950
