DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID
2020,5659,133792840,8539830,,01-FEB-21,21-DEC-20,,21,2,22-DEC-20,0,C,F,93381518
2020,5659,133792854,8572330,,01-FEB-21,24-OCT-20,,18,6,,0,C,F,93383136
2020,5659,133792888,8539830,,01-FEB-21,15-DEC-20,,8,6,,0,C,F,93381594
2020,5659,133792895,8532866,,01-FEB-21,19-SEP-20,,2,6,,0,C,F,93381610
2020,5659,133788669,8572330,N,01-FEB-21,09-OCT-20,,13,6,,0,C,F,93386639
2020,5659,133792922,8520426,N,01-FEB-21,23-AUG-20,,9,6,,0,C,F,93383241
2020,5659,133792928,8532866,N,01-FEB-21,16-SEP-20,,21,6,,0,C,F,93386667
2020,5659,133792953,8572330,N,01-FEB-21,23-OCT-20,,10,6,,0,C,F,93383281
2020,5659,133792972,8572330,N,01-FEB-21,23-OCT-20,,19,6,,0,C,F,93386735
2020,5659,133793010,8567238,N,01-FEB-21,14-NOV-20,,23,6,,0,C,F,93383358
2020,5659,133793020,8572330,N,01-FEB-21,14-OCT-20,,0,6,,0,C,F,93386790
2020,5659,133793040,8572330,,01-FEB-21,14-OCT-20,,19,6,,0,C,F,93386816
2020,5659,133961364,8567238,N,03-FEB-21,20-NOV-20,,10,6,,0,C,F,93741412
2020,5659,133959424,8539830,,03-FEB-21,28-DEC-20,,8,6,,0,C,F,93744549
2020,5659,133959427,8539830,,03-FEB-21,18-DEC-20,,1,6,,0,C,F,93744553
2020,5659,133961540,8532866,,03-FEB-21,29-SEP-20,,18,6,,0,C,F,93746681
2020,5659,133961545,8539830,N,03-FEB-21,29-DEC-20,,3,6,,0,C,F,93746690
2020,5659,133959580,8539830,,03-FEB-21,13-DEC-20,,6,2,16-JAN-21,0,C,F,93746700
2020,5659,133961608,8539830,N,03-FEB-21,25-DEC-20,,20,6,,0,C,F,93746780
2020,5659,133961629,8532866,N,03-FEB-21,26-SEP-20,,22,6,,0,C,F,93744848
2020,5659,133959690,8499564,,03-FEB-21,07-JAN-20,,14,6,,0,C,F,93746866
2020,5659,133959709,8567238,,03-FEB-21,05-NOV-20,,23,2,17-DEC-20,0,C,F,93746892
2020,5659,133959773,8567238,,03-FEB-21,28-NOV-20,,20,6,,0,C,F,93747004
2020,5659,133961797,8572330,,03-FEB-21,05-OCT-20,,5,6,,0,C,F,93745055
2020,5659,133959776,8567238,,03-FEB-21,01-NOV-20,,12,6,,0,C,F,93747008
2020,5659,133788779,8539830,,01-FEB-21,03-DEC-20,,16,6,,0,C,F,93386841
2020,5659,133793065,8520426,,01-FEB-21,18-AUG-20,,12,4,15-SEP-20,0,C,F,93383439
2020,5659,133793085,8532866,,01-FEB-21,01-SEP-20,,21,6,,0,C,F,93386891
2020,5659,133793099,8567238,N,01-FEB-21,29-NOV-20,,0,6,,0,C,F,93386905
2020,5659,133788829,8567238,,01-FEB-21,20-NOV-20,,4,6,,0,C,F,93383524
2020,5659,133788841,8567238,,01-FEB-21,21-NOV-20,,20,6,,0,C,F,93386928
2020,5659,133788863,8572330,N,01-FEB-21,07-OCT-20,,21,6,,0,C,F,93383577
2020,5659,133791240,8520426,,01-FEB-21,24-AUG-20,,0,6,,0,C,F,93378987
2020,5659,133791257,8520426,,01-FEB-21,17-AUG-20,,21,6,,0,C,F,93379018
2020,5659,133791263,8520426,N,01-FEB-21,21-AUG-20,,4,6,,0,C,F,93379028
2020,5659,133786321,8520426,N,01-FEB-21,24-AUG-20,,17,2,28-AUG-20,0,C,F,93374804
2020,5659,133791282,8520426,,01-FEB-21,25-AUG-20,,12,2,27-AUG-20,0,C,F,93374822
2020,5659,133786346,8520426,,01-FEB-21,27-AUG-20,,10,6,,0,C,F,93379080
2020,5659,133791199,8520426,,01-FEB-21,28-AUG-20,,4,6,,0,C,F,93378939
2020,5659,133791214,8520426,,01-FEB-21,26-AUG-20,,20,6,,0,C,F,93374718
2020,5659,133791234,8520426,,01-FEB-21,23-AUG-20,,3,6,,0,C,F,93374755
2020,5659,133791245,8520426,,01-FEB-21,19-AUG-20,,1,6,,0,C,F,93374768
2020,5659,133791265,8520426,,01-FEB-21,25-AUG-20,,20,6,,0,C,F,93379030
2020,5659,133787209,8567238,N,01-FEB-21,03-NOV-20,,4,6,,0,C,F,93379262
2020,5659,133787224,8572330,,01-FEB-21,18-OCT-20,,21,6,,0,C,F,93375970
2020,5659,133791469,8572330,N,01-FEB-21,19-OCT-20,,3,6,,0,C,F,93375982
2020,5659,133791499,8520426,,01-FEB-21,24-AUG-20,,1,2,28-SEP-20,0,C,F,93379354
2020,5659,133787276,8532866,,01-FEB-21,21-SEP-20,,20,6,,0,C,F,93379376
2020,5659,133791544,8572330,,01-FEB-21,11-OCT-20,,18,6,,0,C,F,93379413
2020,5659,133791557,8572330,N,01-FEB-21,15-OCT-20,,4,6,,0,C,F,93379421
2020,5659,133791594,8520426,,01-FEB-21,28-AUG-20,,22,6,,0,C,F,93379509
2020,5659,133791620,8539830,N,01-FEB-21,03-DEC-20,,19,6,,0,C,F,93379547
2020,5659,133791624,8532866,,01-FEB-21,27-SEP-20,,11,6,,0,C,F,93376209
2020,5659,133791634,8567238,,01-FEB-21,02-NOV-20,,15,6,,0,C,F,93376220
2020,5659,133791639,8572330,N,01-FEB-21,08-OCT-20,,20,6,,0,C,F,93379565
2020,5659,130111296,8523652,,26-OCT-20,22-JUL-20,,21,6,,0,C,F,85581114
2020,5659,130111317,8523652,,26-OCT-20,24-JUL-20,,0,6,,0,C,F,85581145
2020,5659,130106760,8523652,,26-OCT-20,25-JUL-20,,11,6,,0,C,F,85584326
2020,5659,130106789,8523652,,26-OCT-20,24-JUL-20,,12,6,,0,C,F,85581199
2020,5659,130106796,8523652,,26-OCT-20,27-JUL-20,,19,6,,0,C,F,85581213
2020,5659,130111390,8554545,,26-OCT-20,16-MAY-20,,12,6,,0,C,F,85584401
2020,5659,130106829,8523652,,26-OCT-20,28-JUL-20,,9,6,,0,C,F,85584425
2020,5659,130106834,8523652,,26-OCT-20,29-JUL-20,,21,6,,0,C,F,85584440
2020,5659,130111439,8530674,,26-OCT-20,15-JUN-20,,0,6,,0,C,F,85581290
2020,5659,130111458,8523652,,26-OCT-20,31-JUL-20,,17,6,,0,C,F,85581308
2020,5659,130106249,8527158,,26-OCT-20,17-FEB-20,,1,6,,0,C,F,85583628
2020,5659,130106274,8556271,,26-OCT-20,15-APR-20,,9,6,,0,C,F,85580484
